iter	Passed	Remaining
0	16	16092
1	23	11960
2	30	10290
3	37	9371
4	45	8985
5	52	8683
6	59	8374
7	65	8107
8	72	7972
9	79	7853
10	85	7708
11	93	7674
12	97	7417
13	105	7413
14	110	7275
15	117	7225
16	125	7228
17	131	7158
18	137	7122
19	143	7047
20	150	7023
21	156	6951
22	162	6909
23	169	6899
24	177	6923
25	183	6882
26	188	6786
27	198	6881
28	206	6911
29	214	6934
30	221	6935
31	228	6913
32	234	6877
33	241	6852
34	246	6810
35	254	6821
36	261	6797
37	269	6812
38	276	6816
39	284	6837
40	292	6841
41	299	6840
42	306	6825
43	314	6832
44	321	6820
45	328	6811
46	335	6812
47	344	6825
48	351	6812
49	358	6803
50	365	6807
51	373	6800
52	381	6807
53	387	6792
54	394	6775
55	401	6775
56	409	6772
57	415	6748
58	422	6734
59	429	6725
60	436	6724
61	444	6721
62	450	6704
63	458	6701
64	465	6696
65	472	6682
66	479	6670
67	486	6661
68	492	6649
69	499	6641
70	507	6635
71	513	6624
72	521	6624
73	528	6609
74	535	6608
75	542	6599
76	550	6592
77	556	6580
78	564	6578
79	571	6569
80	579	6572
81	586	6561
82	592	6548
83	599	6537
84	606	6530
85	614	6528
86	621	6518
87	627	6505
88	635	6502
89	642	6494
90	648	6481
91	655	6469
92	659	6436
93	665	6412
94	672	6404
95	679	6394
96	686	6388
97	693	6379
98	699	6368
99	707	6363
100	713	6354
101	720	6344
102	727	6336
103	734	6325
104	741	6319
105	748	6309
106	754	6299
107	760	6283
108	767	6270
109	773	6257
110	779	6245
111	786	6234
112	792	6221
113	799	6211
114	805	6198
115	811	6184
116	818	6176
117	824	6165
118	830	6150
119	837	6139
120	843	6127
121	849	6114
122	856	6105
123	862	6091
124	868	6078
125	875	6069
126	881	6058
127	887	6046
128	893	6034
129	899	6022
130	906	6013
131	912	6002
132	919	5991
133	925	5980
134	931	5968
135	937	5957
136	944	5948
137	950	5938
138	957	5930
139	963	5918
140	969	5906
141	975	5897
142	982	5885
143	988	5873
144	993	5860
145	1000	5850
146	1006	5840
147	1012	5831
148	1019	5823
149	1025	5809
150	1030	5796
151	1037	5785
152	1043	5776
153	1049	5767
154	1056	5758
155	1062	5750
156	1069	5741
157	1075	5731
158	1081	5722
159	1088	5713
160	1094	5701
161	1099	5689
162	1105	5677
163	1111	5667
164	1117	5656
165	1123	5646
166	1130	5638
167	1136	5626
168	1142	5616
169	1148	5605
170	1154	5596
171	1160	5585
172	1166	5575
173	1172	5566
174	1178	5556
175	1184	5545
176	1190	5534
177	1196	5526
178	1202	5517
179	1209	5512
180	1215	5502
181	1221	5491
182	1227	5481
183	1234	5473
184	1240	5464
185	1246	5456
186	1253	5448
187	1259	5438
188	1265	5430
189	1271	5422
190	1278	5413
191	1284	5403
192	1290	5393
193	1295	5384
194	1301	5374
195	1307	5365
196	1314	5357
197	1320	5349
198	1327	5342
199	1333	5333
200	1340	5327
201	1346	5317
202	1352	5309
203	1357	5298
204	1363	5289
205	1370	5281
206	1375	5270
207	1381	5260
208	1387	5253
209	1393	5243
210	1400	5235
211	1406	5228
212	1412	5218
213	1418	5209
214	1424	5199
215	1430	5190
216	1436	5182
217	1441	5172
218	1447	5163
219	1454	5156
220	1460	5148
221	1466	5139
222	1472	5130
223	1478	5121
224	1484	5112
225	1491	5107
226	1497	5098
227	1502	5088
228	1509	5080
229	1515	5072
230	1520	5063
231	1527	5055
232	1533	5047
233	1539	5038
234	1544	5028
235	1550	5020
236	1556	5011
237	1562	5002
238	1568	4995
239	1574	4987
240	1581	4979
241	1587	4973
242	1594	4966
243	1601	4961
244	1607	4952
245	1613	4944
246	1619	4936
247	1625	4929
248	1632	4922
249	1637	4913
250	1643	4905
251	1649	4896
252	1655	4887
253	1661	4879
254	1667	4871
255	1673	4863
256	1679	4856
257	1685	4847
258	1691	4839
259	1697	4831
260	1704	4824
261	1710	4817
262	1715	4808
263	1721	4800
264	1727	4792
265	1733	4783
266	1739	4775
267	1745	4767
268	1751	4759
269	1757	4752
270	1763	4744
271	1769	4736
272	1774	4726
273	1781	4719
274	1787	4712
275	1794	4706
276	1800	4699
277	1806	4692
278	1813	4685
279	1819	4678
280	1825	4670
281	1831	4663
282	1837	4655
283	1843	4648
284	1849	4640
285	1855	4632
286	1861	4625
287	1867	4618
288	1874	4610
289	1879	4602
290	1886	4595
291	1892	4587
292	1897	4579
293	1903	4571
294	1909	4564
295	1915	4556
296	1921	4548
297	1927	4541
298	1934	4535
299	1940	4527
300	1946	4519
301	1952	4512
302	1958	4504
303	1963	4495
304	1969	4488
305	1975	4481
306	1982	4474
307	1988	4468
308	1994	4460
309	2000	4453
310	2006	4446
311	2013	4439
312	2019	4431
313	2025	4424
314	2031	4417
315	2037	4409
316	2043	4402
317	2049	4395
318	2055	4387
319	2060	4379
320	2066	4371
321	2073	4365
322	2079	4357
323	2085	4351
324	2091	4344
325	2097	4337
326	2103	4329
327	2109	4322
328	2115	4315
329	2121	4307
330	2127	4299
331	2133	4291
332	2138	4284
333	2145	4277
334	2150	4269
335	2156	4261
336	2162	4253
337	2168	4246
338	2174	4239
339	2180	4232
340	2187	4226
341	2192	4218
342	2198	4211
343	2204	4204
344	2211	4199
345	2218	4192
346	2224	4186
347	2230	4179
348	2236	4172
349	2242	4164
350	2248	4157
351	2255	4151
352	2261	4145
353	2267	4137
354	2273	4131
355	2280	4125
356	2287	4119
357	2293	4112
358	2299	4105
359	2305	4098
360	2311	4090
361	2316	4083
362	2322	4076
363	2329	4069
364	2335	4062
365	2341	4056
366	2348	4050
367	2354	4044
368	2360	4036
369	2366	4029
370	2372	4021
371	2377	4014
372	2383	4006
373	2389	3999
374	2395	3992
375	2401	3985
376	2407	3978
377	2413	3971
378	2420	3965
379	2426	3958
380	2431	3951
381	2437	3943
382	2443	3936
383	2450	3930
384	2455	3923
385	2461	3916
386	2468	3909
387	2473	3902
388	2480	3895
389	2485	3888
390	2492	3881
391	2498	3874
392	2504	3867
393	2509	3860
394	2515	3853
395	2522	3847
396	2528	3841
397	2535	3835
398	2541	3828
399	2548	3822
400	2554	3815
401	2560	3808
402	2566	3801
403	2572	3794
404	2578	3787
405	2584	3781
406	2591	3775
407	2597	3768
408	2603	3761
409	2609	3755
410	2615	3748
411	2621	3740
412	2626	3733
413	2632	3726
414	2638	3719
415	2644	3712
416	2650	3705
417	2656	3698
418	2662	3691
419	2668	3684
420	2674	3677
421	2680	3671
422	2686	3664
423	2692	3657
424	2698	3650
425	2704	3643
426	2710	3637
427	2716	3630
428	2722	3624
429	2728	3617
430	2734	3610
431	2740	3603
432	2747	3597
433	2753	3590
434	2759	3584
435	2765	3577
436	2771	3570
437	2778	3564
438	2784	3558
439	2790	3551
440	2796	3545
441	2802	3538
442	2809	3532
443	2815	3525
444	2821	3518
445	2827	3511
446	2833	3505
447	2840	3500
448	2847	3494
449	2855	3489
450	2861	3482
451	2867	3476
452	2873	3469
453	2879	3462
454	2885	3456
455	2891	3449
456	2897	3442
