iter	Passed	Remaining
0	9	9402
1	17	8541
2	23	7905
3	30	7698
4	38	7580
5	45	7539
6	52	7410
7	59	7336
8	66	7279
9	72	7168
10	78	7079
11	85	7024
12	89	6787
13	95	6735
14	101	6695
15	108	6656
16	114	6616
17	120	6580
18	127	6560
19	133	6541
20	140	6527
21	146	6503
22	152	6459
23	158	6449
24	164	6413
25	170	6390
26	174	6300
27	181	6291
28	187	6261
29	192	6226
30	198	6196
31	203	6169
32	209	6130
33	215	6115
34	221	6093
35	226	6069
36	233	6079
37	239	6064
38	246	6063
39	252	6050
40	258	6042
41	264	6032
42	271	6046
43	278	6054
44	284	6047
45	292	6058
46	298	6050
47	304	6040
48	310	6032
49	316	6021
50	323	6023
51	330	6023
52	337	6029
53	344	6034
54	350	6029
55	357	6024
56	364	6027
57	371	6028
58	378	6031
59	385	6036
60	391	6024
61	397	6014
62	404	6013
63	410	6002
64	417	6006
65	424	6010
66	432	6015
67	438	6012
68	445	6005
69	451	5998
70	458	5995
71	464	5986
72	470	5977
73	476	5968
74	483	5963
75	490	5965
76	497	5960
77	504	5957
78	510	5949
79	516	5939
80	523	5935
81	529	5925
82	535	5918
83	542	5915
84	548	5908
85	555	5905
86	562	5898
87	568	5890
88	574	5884
89	581	5881
90	588	5882
91	595	5872
92	599	5847
93	604	5827
94	610	5817
95	617	5812
96	623	5800
97	628	5788
98	635	5779
99	641	5773
100	648	5769
101	654	5763
102	661	5756
103	667	5746
104	673	5737
105	678	5726
106	684	5715
107	690	5702
108	696	5690
109	702	5680
110	708	5670
111	714	5663
112	720	5653
113	726	5646
114	732	5637
115	738	5626
116	744	5615
117	750	5606
118	755	5596
119	761	5586
120	768	5580
121	773	5567
122	779	5555
123	784	5543
124	790	5531
125	796	5523
126	802	5513
127	808	5506
128	813	5494
129	819	5483
130	825	5474
131	831	5464
132	836	5452
133	842	5443
134	848	5434
135	854	5425
136	859	5415
137	865	5407
138	871	5399
139	878	5395
140	883	5383
141	889	5373
142	895	5366
143	901	5359
144	907	5350
145	913	5344
146	919	5337
147	925	5328
148	931	5320
149	937	5311
150	942	5300
151	947	5288
152	953	5280
153	959	5270
154	965	5262
155	970	5253
156	976	5245
157	982	5237
158	988	5229
159	994	5221
160	1001	5219
161	1007	5212
162	1013	5203
163	1019	5195
164	1025	5192
165	1031	5184
166	1037	5175
167	1043	5166
168	1048	5156
169	1055	5152
170	1062	5149
171	1068	5144
172	1074	5135
173	1079	5126
174	1085	5117
175	1092	5112
176	1097	5105
177	1104	5100
178	1110	5093
179	1115	5082
180	1121	5076
181	1128	5072
182	1134	5065
183	1141	5062
184	1146	5052
185	1152	5045
186	1159	5041
187	1165	5034
188	1172	5030
189	1177	5021
190	1183	5013
191	1188	5002
192	1195	4996
193	1200	4988
194	1207	4983
195	1214	4980
196	1219	4972
197	1225	4964
198	1230	4954
199	1237	4948
200	1242	4940
201	1248	4933
202	1254	4924
203	1260	4917
204	1266	4909
205	1271	4902
206	1278	4899
207	1284	4892
208	1291	4886
209	1296	4877
210	1302	4869
211	1307	4861
212	1313	4852
213	1318	4844
214	1324	4836
215	1330	4830
216	1337	4826
217	1343	4818
218	1348	4810
219	1355	4804
220	1360	4796
221	1366	4790
222	1373	4784
223	1378	4776
224	1384	4770
225	1390	4762
226	1396	4754
227	1402	4748
228	1408	4741
229	1414	4735
230	1421	4730
231	1426	4723
232	1432	4715
233	1439	4711
234	1445	4706
235	1451	4697
236	1457	4692
237	1462	4683
238	1469	4678
239	1475	4671
240	1481	4664
241	1486	4657
242	1492	4650
243	1499	4644
244	1504	4637
245	1510	4630
246	1516	4624
247	1522	4617
248	1528	4610
249	1534	4603
250	1540	4595
251	1545	4588
252	1552	4583
253	1557	4575
254	1563	4566
255	1569	4561
256	1575	4554
257	1581	4547
258	1586	4539
259	1592	4533
260	1599	4528
261	1605	4523
262	1612	4519
263	1619	4515
264	1626	4510
265	1631	4502
266	1637	4495
267	1644	4490
268	1650	4486
269	1656	4478
270	1662	4471
271	1667	4463
272	1673	4456
273	1678	4448
274	1684	4440
275	1690	4433
276	1695	4425
277	1701	4417
278	1707	4411
279	1714	4407
280	1719	4400
281	1725	4393
282	1732	4388
283	1737	4381
284	1743	4372
285	1748	4365
286	1753	4357
287	1760	4351
288	1766	4346
289	1772	4339
290	1778	4333
291	1784	4327
292	1790	4319
293	1795	4312
294	1801	4305
295	1807	4298
296	1813	4291
297	1819	4285
298	1825	4278
299	1831	4273
300	1837	4266
301	1842	4259
302	1848	4251
303	1854	4246
304	1860	4239
305	1866	4232
306	1871	4225
307	1877	4218
308	1882	4210
309	1888	4203
310	1894	4197
311	1899	4189
312	1905	4181
313	1911	4175
314	1916	4168
315	1922	4161
316	1927	4152
317	1933	4145
318	1938	4138
319	1944	4131
320	1949	4123
321	1955	4117
322	1961	4110
323	1967	4103
324	1973	4097
325	1978	4090
326	1984	4083
327	1989	4075
328	1995	4069
329	2000	4062
330	2006	4055
331	2012	4048
332	2018	4042
333	2024	4036
334	2029	4029
335	2035	4022
336	2041	4015
337	2047	4010
338	2053	4003
339	2058	3996
340	2063	3988
341	2069	3982
342	2074	3974
343	2080	3966
344	2085	3959
345	2091	3953
346	2097	3947
347	2103	3940
348	2108	3932
349	2114	3927
350	2120	3920
351	2126	3914
352	2131	3907
353	2138	3902
354	2143	3894
355	2148	3887
356	2155	3881
357	2161	3876
358	2167	3870
359	2173	3864
360	2179	3857
361	2184	3850
362	2190	3843
363	2195	3836
364	2201	3829
365	2206	3822
366	2212	3816
367	2218	3809
368	2223	3802
369	2229	3795
370	2234	3787
371	2239	3781
372	2245	3774
373	2251	3768
374	2257	3762
375	2262	3755
376	2268	3748
377	2273	3741
378	2279	3734
379	2284	3727
380	2289	3720
381	2295	3713
382	2301	3707
383	2307	3701
384	2312	3694
385	2318	3687
386	2323	3680
387	2329	3673
388	2334	3666
389	2340	3660
390	2345	3653
391	2350	3646
392	2356	3639
393	2361	3632
394	2366	3625
395	2372	3618
396	2378	3612
397	2384	3606
398	2390	3600
399	2395	3593
400	2401	3587
401	2407	3582
402	2414	3576
403	2420	3570
404	2426	3564
405	2431	3558
406	2438	3552
407	2444	3546
408	2449	3539
409	2455	3533
410	2461	3527
411	2466	3520
412	2472	3513
413	2477	3507
414	2482	3499
415	2488	3492
416	2493	3486
417	2499	3480
418	2505	3473
419	2510	3466
420	2516	3460
421	2521	3454
422	2527	3447
423	2532	3441
424	2538	3434
425	2544	3428
426	2549	3421
427	2555	3415
428	2560	3408
429	2566	3402
430	2572	3395
431	2577	3389
432	2583	3382
433	2588	3376
434	2594	3369
435	2599	3362
436	2605	3356
437	2611	3350
438	2618	3345
439	2624	3339
440	2630	3333
441	2636	3328
442	2641	3321
443	2647	3314
444	2653	3309
